21	39.92775	116.24565	2	5
19	39.99504	116.46126	8	0
7	40.53200	116.57936	0	1
6	40.09392	116.41045	3	0
12	39.93736	116.43242	5	0
7	40.04585	116.34865	1	0
9	39.91814	116.29372	1	0
7	39.98268	116.35963	1	0
7	39.95934	116.38023	54	0
19	40.02251	116.37474	0	2
21	40.10216	116.29097	2	8
13	39.99504	116.42967	9	0
6	39.97169	116.48460	0	1
8	39.96208	116.34590	2	7
18	39.99916	116.46675	14	0
0	31.24580	121.45042	0	3
23	39.90852	116.46263	0	4
22	40.00053	116.43791	2	0
17	39.95247	116.32256	1	0
15	39.98543	116.41319	8	0
16	40.00191	116.40907	27	1
7	39.88243	116.71944	2	0
16	39.19304	116.29646	0	2
7	39.91264	116.36101	1	0
19	40.08018	116.41045	0	2
8	40.02663	116.44066	7	0
18	39.91127	116.54915	5	0
17	39.97169	116.44203	1	0
0	39.85497	116.39259	1	0
15	39.33586	116.30608	10	0
17	40.08980	116.19484	40	0
20	39.99916	116.44615	12	0
21	39.98817	116.44753	3	0
14	39.89204	116.44066	13	0
23	29.65279	106.63536	2	0
16	40.02937	116.42143	4	0
9	39.85909	116.32256	5	3
20	40.01015	116.46538	4	0
7	40.04448	116.34727	2	0
16	39.99367	116.29509	2	0
18	30.23781	120.43831	2	0
20	39.91676	116.43929	1	0
14	40.00740	116.48460	2	1
10	39.92226	116.47774	2	0
10	39.91814	116.45439	9	0
1	39.99779	116.36925	1	1
9	40.04860	116.42143	3	0
5	40.09529	117.24266	0	1
9	29.64867	91.09520	1	0
7	40.02525	116.67549	0	3
16	39.98268	116.41045	0	1
15	40.01015	116.46126	23	1
9	39.92363	116.43517	7	14
20	39.84123	116.56151	2	0
21	40.10078	116.50246	4	2
21	28.24379	112.92641	11	0
7	25.07286	102.65694	6	0
2	40.00603	116.42830	1	0
21	39.98268	116.41457	7	3
13	39.14909	117.18224	1	0
10	39.89616	116.42143	5	0
19	32.21672	119.65141	1	0
7	39.12987	116.28822	3	0
15	40.03487	116.40221	1	0
22	40.04173	116.59172	0	5
23	39.98680	116.50658	1	0
14	40.00191	116.45164	2	0
13	39.92500	116.43105	2	0
21	39.94286	116.46675	3	0
23	39.91539	116.44478	1	0
13	39.91127	116.40358	5	0
9	39.95659	116.59447	0	3
16	39.97032	116.48186	8	0
0	39.95796	116.53954	1	0
10	40.09941	116.29784	0	14
9	40.06920	116.43105	1	0
2	40.17632	116.62056	0	10
7	39.94286	116.21819	3	7
13	39.91402	116.55190	3	0
11	39.86732	116.33492	0	1
10	39.96758	116.41319	5	0
7	40.04585	116.33080	5	0
18	40.03487	116.42693	34	0
14	39.99229	116.42693	44	0
9	39.99916	116.44890	32	2
18	39.99367	116.43379	13	0
17	39.99916	116.26762	1	0
5	39.92638	116.33354	1	0
15	39.89891	116.67412	1	0
15	39.91814	116.58211	2	0
7	39.99641	116.38710	4	0
9	39.83849	116.31294	5	3
5	34.84383	113.98384	0	10
17	39.94560	116.35826	5	0
16	40.07607	116.32805	1	1
13	38.09441	114.42604	5	0
13	40.29579	116.60271	4	0
20	40.15022	116.29646	2	0
14	39.98955	116.40083	2	2
7	39.89616	116.45302	2	1
21	39.95522	116.78810	0	1
21	39.90715	116.57249	2	0
6	40.01564	116.43517	3	0
11	40.00603	116.44615	1	0
13	38.93211	116.35689	0	4
11	30.63057	104.13872	0	2
22	39.96483	116.47499	5	0
7	39.93874	116.42143	7	5
18	40.09254	116.41045	4	0
17	39.23973	116.41319	0	5
16	41.78719	123.34694	1	0
5	39.92638	116.62880	2	0
20	38.03673	115.13191	15	0
6	40.01015	116.44341	1	0
14	39.99504	116.29784	1	0
12	39.43748	116.32256	1	0
19	39.92226	116.40633	36	0
17	39.93599	116.45439	1	1
17	39.83711	116.41045	1	0
17	40.00877	116.33080	5	0
15	39.92912	116.52443	2	0
17	39.96483	116.47087	1	0
10	40.01701	116.43105	4	0
2	39.92775	116.59996	4	2
11	39.99367	116.44478	2	0
13	39.99504	116.41182	16	8
21	40.03761	116.42006	6	0
17	40.09941	116.28685	0	1
7	39.97581	116.42830	2	0
8	39.92638	116.42143	12	0
17	39.94148	116.40495	0	2
6	25.75676	112.73003	0	3
21	39.98268	116.36375	4	0
21	39.93462	116.53404	5	0
12	36.65245	117.11906	1	0
16	39.91814	118.99773	2	0
16	39.87968	116.38573	6	0
21	39.76295	116.17287	3	0
22	40.02113	116.44753	2	0
13	39.19579	115.95589	2	0
16	43.84163	125.33821	0	10
19	39.92638	116.31569	3	0
4	36.27892	118.28224	11	0
0	39.89067	115.95589	1	0
23	39.95796	116.42143	1	0
12	39.15733	116.35139	9	0
8	89.99931	39.77119	2	0
17	40.00877	116.34865	1	0
16	39.32076	116.38847	17	0
6	39.85497	116.23329	3	0
13	39.90440	116.42143	4	0
15	39.76433	116.18523	1	0
8	39.76295	115.95589	22	0
22	30.47539	114.11705	0	1
14	40.01427	116.46675	1	0
7	40.07332	116.41457	3	0
10	39.98680	116.31432	0	2
16	39.99779	116.48186	2	0
18	39.99229	116.40907	1	0
18	40.08293	116.33629	31	4
17	34.23134	108.93974	1	0
18	39.92226	116.58760	6	0
17	40.20790	116.12480	3	0
6	39.97581	116.36513	1	0
8	39.94286	116.28822	2	0
4	24.31480	109.40666	0	1
0	40.01427	116.41182	2	0
7	39.96208	116.28273	0	12
8	39.99916	116.38573	14	4
2	30.65941	104.13185	0	1
21	38.95546	117.32231	1	0
12	23.76549	112.95113	0	3
16	39.98817	116.33766	5	1
22	39.92363	116.42967	0	1
18	38.86070	116.06163	2	0
11	32.07527	118.77800	0	1
21	18.28743	109.44374	1	0
9	40.32051	116.63155	1	0
17	39.93187	116.42143	1	0
